Accession,one2one,one2zero,many2one,one2many,many2many,I,L,M,PG,PI,PM,UL
GCA_916614155.1,0,0,0,0,0,0,0,0,0,0,0,0
GCA_963082485.1,7062,6430,234,72,65,6425,4557,987,807,470,79,1148
GCA_905475445.1,11168,1646,416,87,103,11718,1551,64,8,33,20,1076
GCA_932276165.1,5993,7635,206,49,50,5412,6323,554,690,69,68,1357
GCA_963422495.1,4687,9225,89,55,52,4314,6466,789,1858,64,105,871
GCA_912999735.1,0,0,0,0,0,0,0,0,0,0,0,0
GCA_905147325.1,9706,3622,351,40,52,9694,3020,188,375,39,38,1119
GCA_951806755.1,7302,6334,249,41,52,6835,4088,712,1455,55,79,1249
GCA_912999815.1,0,0,0,0,0,0,0,0,0,0,0,0
GCA_963576865.1,7870,5569,281,65,60,7489,4576,317,604,51,66,1364
GCA_951805285.1,7209,6347,240,51,62,6803,4741,558,983,57,65,1266
GCA_946478455.1,6881,6895,181,45,53,6125,4778,681,1367,34,69,1419
GCA_905163495.1,11001,1757,428,138,96,11620,1629,96,7,59,25,1037
GCA_947563715.1,7168,6432,234,50,53,6581,4475,700,1193,50,64,1410
GCA_902850265.1,0,0,0,0,0,0,0,0,0,0,0,0
GCA_905220595.1,9672,3509,344,71,64,9674,3059,190,218,33,39,1257
GCA_947093115.1,7273,6312,258,53,48,6864,4522,597,1133,66,60,1231
GCA_905147225.1,8663,4752,307,67,56,8537,3858,364,485,35,44,1150
GCA_916610205.1,11082,1679,437,138,103,11707,1592,59,15,47,12,1041
GCA_947359385.1,0,0,0,0,0,0,0,0,0,0,0,0
GCA_905147765.1,7714,5831,259,34,46,7378,4496,402,889,44,44,1220
GCA_910589355.1,0,0,0,0,0,0,0,0,0,0,0,0
GCA_905333125.1,0,0,0,0,0,0,0,0,0,0,0,0
GCA_951640565.1,8144,5304,283,55,57,7767,4104,362,783,60,53,1344
GCA_949125135.1,8069,5405,271,56,64,7514,4005,500,847,57,52,1498
GCA_947086465.1,6993,6807,224,39,34,6225,4494,705,1534,45,74,1396
GCA_944567765.1,6931,6792,206,50,44,6420,4828,470,1419,37,75,1224
GCA_963082885.1,9906,3217,369,63,73,9952,2977,109,109,48,22,1256
GCA_949126895.1,9617,3442,351,108,79,9761,3193,123,80,63,44,1209
GCA_905333005.1,6458,7200,210,41,58,6081,4979,580,1568,32,71,1162
GCA_947363905.1,11186,1561,438,97,90,11854,1483,50,4,53,24,1005
GCA_905147745.2,11051,1930,409,110,77,11453,1703,163,44,44,19,1046
GCA_963556515.1,8740,4696,296,73,59,8349,3568,619,464,211,44,1218
GCA_947623395.1,6896,6944,215,38,28,6304,5037,549,1305,51,53,1174
GCA_910594945.2,11008,1920,439,70,89,11577,1765,99,24,41,25,942
GCA_028984075.1,5623,8249,177,36,33,5070,5240,805,2137,53,63,1102
GCA_948107665.1,7665,5928,234,42,46,7125,4473,493,901,42,57,1382
GCA_947532125.1,8033,5511,289,42,32,7709,3535,467,1447,33,59,1222
GCA_905220585.2,0,0,0,0,0,0,0,0,0,0,0,0
GCA_905220515.1,4452,9405,131,60,48,4138,6182,832,2284,60,106,871
GCA_949316185.1,7768,5726,290,59,56,7365,4362,401,894,61,69,1321
GCA_947044415.1,7170,6572,244,41,38,6411,4546,650,1312,34,61,1459
GCA_937612035.1,5508,8326,131,64,55,5030,6052,713,1473,42,85,1077
GCA_949319885.1,7851,5572,296,52,62,7462,4730,334,456,45,52,1394
GCA_930367265.1,10064,3099,374,54,59,10182,2797,151,102,33,49,1159
GCA_911387765.1,6965,6587,209,63,70,6649,4940,507,1069,38,69,1201
GCA_963565745.1,5557,8210,152,60,43,5099,6178,618,1337,58,76,1107
GCA_963675205.1,10013,2954,373,108,81,10281,2674,163,70,39,46,1200
GCA_951640165.1,9600,3506,341,110,74,9600,3187,156,123,55,39,1313
GCA_963921375.1,11040,1724,436,141,97,11647,1624,68,7,47,24,1056
GCA_963555595.1,9182,4181,318,57,53,8980,3443,263,430,45,45,1267
GCA_943193695.1,7246,6259,284,62,56,6859,4769,449,973,44,67,1312
GCA_905404295.1,7309,6210,248,52,54,6977,4832,400,919,38,59,1248
GCA_947562085.1,7566,5907,268,59,62,7187,4584,478,770,44,75,1335
GCA_951213275.1,7459,6092,247,44,56,6813,4447,547,1053,38,45,1530
GCA_949125395.1,9588,3594,341,67,79,9606,3206,201,128,64,59,1209
GCA_947363495.1,7365,6115,288,63,61,6975,4808,415,834,50,57,1334
GCA_905404315.1,3181,10908,53,38,39,2935,6681,967,3130,33,128,598
GCA_905146925.1,10897,1943,441,71,89,11399,1852,59,13,51,18,1080
GCA_933228765.1,9159,4026,326,103,82,9154,3591,225,160,51,48,1244
GCA_912999745.1,0,0,0,0,0,0,0,0,0,0,0,0
GCA_947507595.1,7044,6544,238,53,54,6759,4746,629,1107,61,61,1110
GCA_905163515.2,0,0,0,0,0,0,0,0,0,0,0,0
GCA_949752805.1,8829,4465,327,45,70,8667,3707,235,482,50,40,1292
GCA_905147815.1,9388,3835,330,130,58,9452,3342,209,249,39,33,1149
GCA_911387775.1,7404,6178,245,46,52,6947,4609,517,993,55,58,1294
GCA_024362695.1,7645,5840,237,88,54,7336,4692,414,688,58,45,1240
GCA_905404115.1,9625,3791,347,32,39,9548,3070,201,483,41,37,1093
