Assembly Accession	Assembly Name	Organism Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	Assembly Stats Number of Scaffolds	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 
GCA_916049575.1	iyAncNigr1.1	Ancistrocerus nigricornis	231995547	Chromosome	2021-09-18	6						
GCA_905163465.1	ilCraLigu1.1	Craniophora ligustri	437978302	Chromosome	2021-01-27	32						
GCA_905220415.1	ilColCroc2.1	Colias croceus	324897031	Chromosome	2021-02-16	32						
GCF_905220415.1	ilColCroc2.1	Colias croceus	324897031	Chromosome	2021-02-16	32	0.99413544	0.98808175	0.0060537267	0.00075671583	0.005107832	lepidoptera_odb10
GCA_905146935.1	idScaPyra1.1	Scaeva pyrastri	320029822	Chromosome	2021-01-27	4						
GCA_030273425.1	ASM3027342v1	Microplitis manilae	284760326	Chromosome	2023-06-15	11						
GCA_036509395.1	ASM3650939v1	Antheraea yamamai	584054811	Chromosome	2023-09-02	31						
GCA_914767945.1	ilEilDepe1.1	Eilema depressum	622006817	Chromosome	2021-09-16	30						
GCA_945859715.1	ilApaSord1.1	Apamea sordens	614313245	Chromosome	2022-07-22	31						
GCA_905333005.2	ilLycPhla1.2	Lycaena phlaeas	420468287	Chromosome	2022-02-13	24						
GCA_905332985.1	ilMimTili1.1	Mimas tiliae	477965817	Chromosome	2021-03-11	29						
GCA_932526535.1	ilCarClav1.1	Caradrina clavipalpis	474181573	Chromosome	2022-03-23	31						
GCA_932294325.1	ilAllOxya1.1	Allophyes oxyacanthae	458464223	Chromosome	2022-03-10	31						
GCA_910591435.1	ilAcrAcer1.1	Acronicta aceris	466369003	Chromosome	2021-07-06	32						
GCA_914767815.1	ilEupTran1.1	Eupsilia transversa	466907300	Chromosome	2021-09-16	32						
GCA_907269075.1	ilIdaAver1.1	Idaea aversata	436713420	Chromosome	2021-05-19	30						
GCA_907165245.1	ilHabPyri1.1	Habrosyne pyritoides	400553399	Chromosome	2021-05-17	31						
GCA_905231865.2	ilBolSele5.2	Boloria selene	399902484	Chromosome	2021-03-24	31						
GCA_947044815.1	ilApoBist1.1	Apomyelois bistriatella	389556621	Chromosome	2022-10-07	32						
GCA_914767915.1	ilAgrAura1.1	Agriopis aurantiaria	485369969	Chromosome	2021-09-16	30						
GCA_914767695.1	ilPtiCapc1.1	Ptilodon capucinus	348696490	Chromosome	2021-09-16	31						
GCA_944452935.1	iyRhoChlo1.1	Rhogogaster chlorosoma	255271170	Chromosome	2022-06-30	10						
GCA_947049315.1	idEpiEuco1.1	Epistrophella euchroma	523309982	Chromosome	2022-10-09	6						
GCA_910589645.1	ilTinSemi1.1	Tinea semifulvella	596584503	Chromosome	2021-07-06	45						
GCA_961405105.1	ilPerAffn1.1	Perizoma affinitatum	357692699	Chromosome	2023-07-29	25						
GCA_912999815.1	ilCamMarg1.1	Campaea margaritaria	335209595	Chromosome	2021-08-18	31						
GCA_951509405.1	idMacRust1.1	Machimus rusticus	279698367	Chromosome	2023-05-15	8						
GCA_945859725.1	ilDreFalc1.1	Drepana falcataria	326729860	Chromosome	2022-07-22	31						
GCA_945859745.1	ilSynForm1.1	Synanthedon formicaeformis	321216854	Chromosome	2022-07-22	31						
GCA_963891755.1	ilPyrUmbr1.1	Pyrrhia umbra	433580075	Chromosome	2023-12-18	32						
GCA_918317495.1	ilSynVesp1.1	Synanthedon vespiformis	287383648	Chromosome	2021-10-28	31						
GCA_963576755.1	ilNocJanh1.1	Noctua janthina	539703251	Chromosome	2023-11-03	31						
GCA_912999735.1	ilApoCrat1.1	Aporia crataegi	229678889	Chromosome	2021-08-18	26						
GCA_949319445.1	ilMytLalu1.1	Mythimna lalbum	691871265	Chromosome	2023-03-10	32						
GCA_949699065.1	ilMetItal3.1	Metalampra italica	319369997	Chromosome	2023-03-17	31						
GCA_958496145.1	ilHelPelt1.1	Heliothis peltigera	332828679	Chromosome	2023-07-17	31						
GCA_918843925.1	ilEulPrun1.1	Eulithis prunata	263131874	Chromosome	2021-11-16	30						
GCA_939628115.1	Tfree1.0	Tribolium freemani	269169934	Chromosome	2022-06-24	11						
GCA_947859365.1	ilArcCraa1.1	Archips crataeganus	626907041	Chromosome	2023-01-06	31						
GCA_951230905.1	idCheVari2.1	Cheilosia variabilis	414741101	Chromosome	2023-05-11	7						
GCA_905475355.2	ilCloCurt1.2	Clostera curtula	512665902	Chromosome	2022-02-02	30						
GCA_959613365.1	ihBalDimi2.1	Balanococcus diminutus	313093071	Chromosome	2023-07-23	5						
GCA_947563765.1	ilAnaInnx2.1	Anarsia innoxiella	302913609	Chromosome	2022-12-13	31						
GCA_947389935.1	icAgrCyan1.1	Agrilus cyanescens	292338215	Chromosome	2022-12-04	10						
GCA_958496275.1	iyZelAlbi1.1	Zele albiditarsus	137676224	Chromosome	2023-07-17	10						
GCA_949710015.1	idCraPall2.1	Crataerina pallida	177048515	Chromosome	2023-03-19	6						
GCA_907164805.1	iBraPut3m.1	Brachyptera putata	436497185	Chromosome	2021-05-17	14						
GCA_963932425.1	iyAthCord1.1	Athalia cordata	169026174	Chromosome	2024-02-07	4						
GCA_921294245.1	PGI_MELIAE_v1	Brassicogethes aeneus	585278335	Chromosome	2022-01-17	11						
GCA_030269945.2	ASM3026994v2	Trilocha varians	353839427	Chromosome	2023-06-16	27						
GCA_917563865.1	PGI_PHYECR_V1	Phyllotreta cruciferae	135120912	Chromosome	2022-06-24	17						
GCA_033064975.1	ASM3306497v1	Smittia sp. YW1114-2	71558805	Chromosome	2023-10-26	3						
GCA_033063855.1	ASM3306385v1	Smittia aterrima	78453853	Chromosome	2023-10-26	3						
GCA_003254395.2	Amel_HAv3.1	Apis mellifera	225234541	Chromosome	2018-09-10	176						
GCF_003254395.2	Amel_HAv3.1	Apis mellifera	225234541	Chromosome	2018-09-10	176	0.9878151	0.9863128	0.0015022533	0.003338341	0.008846603	hymenoptera_odb10
GCA_002204515.1	AaegL5.0	Aedes aegypti	1278715314	Chromosome	2017-06-22	2309						
GCF_002204515.2	AaegL5.0	Aedes aegypti	1278715314	Chromosome	2017-06-22	2309	0.9929985	0.9537291	0.039269406	0.001826484	0.0051750382	diptera_odb10
GCA_023101765.3	AGI-APGP_CSIRO_Sfru_2.0	Spodoptera frugiperda	383907753	Chromosome	2022-08-26	68						
GCF_023101765.2	AGI-APGP_CSIRO_Sfru_2.0	Spodoptera frugiperda	383907753	Chromosome	2022-08-26	68	0.99583805	0.98335224	0.0124858115	0.00075671583	0.0034052213	lepidoptera_odb10
GCA_943734735.2	idAnoGambNW_F1_1	Anopheles gambiae	264451381	Chromosome	2022-09-09	190						
GCF_943734735.2	idAnoGambNW_F1_1	Anopheles gambiae	264451381	Chromosome	2022-09-09	190	0.99482495	0.9920852	0.002739726	0.000913242	0.004261796	diptera_odb10
GCA_031307605.1	icTriCast1.1	Tribolium castaneum	241845558	Chromosome	2023-09-14	148						
GCF_031307605.1	icTriCast1.1	Tribolium castaneum	241845558	Chromosome	2023-09-14	148	0.9915254	0.98634654	0.005178908	0.0014124294	0.007062147	endopterygota_odb10
GCA_035046485.1	AalbF5	Aedes albopictus	1344147842	Chromosome	2024-01-04	1496						
GCF_035046485.1	AalbF5	Aedes albopictus	1344147842	Chromosome	2024-01-04	1496	0.9811263	0.90593606	0.07519026	0.001826484	0.017047184	diptera_odb10
GCA_005508785.2	pea_aphid_22Mar2018_4r6ur_v2	Acyrthosiphon pisum	533632392	Chromosome	2019-05-20	21227						
GCF_005508785.2	pea_aphid_22Mar2018_4r6ur_v2	Acyrthosiphon pisum	533632392	Chromosome	2019-05-20	21227						
GCA_023373825.1	ASM2337382v1	Bactrocera dorsalis	530310706	Chromosome	2022-05-16	586						
GCF_023373825.1	ASM2337382v1	Bactrocera dorsalis	530310706	Chromosome	2022-05-16	586	0.98995435	0.98356164	0.006392694	0.00152207	0.008523592	diptera_odb10
GCA_932276165.1	ilPluXylo3.1	Plutella xylostella	323302761	Chromosome	2022-03-10	33						
GCF_932276165.1	ilPluXylo3.1	Plutella xylostella	323302761	Chromosome	2022-03-10	33	0.9895952	0.98335224	0.0062429057	0.0013242527	0.009080591	lepidoptera_odb10
GCF_014356525.2	ASM1435652v1	Nilaparvata lugens	1085539448	Chromosome	2020-09-09	6874						
GCA_029169275.1	AcerK_1.0	Apis cerana	223040589	Chromosome	2023-03-14	20						
GCF_029169275.1	AcerK_1.0	Apis cerana	223040589	Chromosome	2023-03-14	20	0.9871474	0.98597896	0.0011684193	0.0021699215	0.010682691	hymenoptera_odb10
GCA_016746395.2	Prin_Dsim_3.1	Drosophila simulans	131663590	Chromosome	2021-10-05	95						
GCF_016746395.2	Prin_Dsim_3.1	Drosophila simulans	131663590	Chromosome	2021-10-05	95	0.99847794	0.99421614	0.004261796	0.00030441402	0.0012176561	diptera_odb10
GCA_026315105.1	CAU_Lmig_1.0	Locusta migratoria	6303855065	Chromosome	2022-11-27	2534						
GCA_013141755.1	UCI_ANSTEP_V1.0	Anopheles stephensi	243460342	Chromosome	2020-06-09	494						
GCF_013141755.1	UCI_ANSTEP_V1.0	Anopheles stephensi	243460342	Chromosome	2020-06-09	494	0.9936073	0.95098937	0.04261796	0.000913242	0.005479452	diptera_odb10
GCA_009193385.2	Nvit_psr_1.1	Nasonia vitripennis	297309692	Chromosome	2020-01-30	444						
GCF_009193385.2	Nvit_psr_1.1	Nasonia vitripennis	297309692	Chromosome	2020-01-30	444	0.95309633	0.9419129	0.011183442	0.0058420966	0.04106159	hymenoptera_odb10
GCA_016802725.1	UNIL_Sinv_3.0	Solenopsis invicta	378101515	Chromosome	2021-02-03	219						
GCF_016802725.1	UNIL_Sinv_3.0	Solenopsis invicta	378101515	Chromosome	2021-02-03	219	0.99098647	0.9834752	0.007511267	0.0018360874	0.007177433	hymenoptera_odb10
GCA_910591885.2	iyBomTerr1.2	Bombus terrestris	392962041	Chromosome	2022-02-09	249						
GCF_910591885.1	iyBomTerr1.2	Bombus terrestris	392962041	Chromosome	2022-02-09	249	0.98948425	0.9854782	0.004006009	0.0006676682	0.009848106	hymenoptera_odb10
GCA_016801865.2	TS_CPP_V2	Culex pipiens pallens	566339288	Chromosome	2022-08-05	289						
GCF_016801865.2	TS_CPP_V2	Culex pipiens pallens	566339288	Chromosome	2022-08-05	289	0.9503805	0.8995434	0.050837137	0.0051750382	0.044444446	diptera_odb10
GCA_914767665.1	icHarAxyr1.1	Harmonia axyridis	425524972	Chromosome	2021-09-16	13						
GCF_914767665.1	icHarAxyr1.1	Harmonia axyridis	425524972	Chromosome	2021-09-16	13	0.9745763	0.95009416	0.024482109	0.00094161957	0.024482109	endopterygota_odb10
GCA_020184175.2	ASM2018417v2	Aphis gossypii	334855424	Chromosome	2021-09-30	504						
GCF_020184175.1	ASM2018417v2	Aphis gossypii	334855424	Chromosome	2021-09-30	504	0.9912351	0.9768924	0.014342629	0.00039840638	0.008366534	hemiptera_odb10
GCA_017141395.1	ASM1714139v1	Laodelphax striatellus	510210580	Chromosome	2021-03-09	312						
GCA_009870125.2	UCI_Dpse_MV25	Drosophila pseudoobscura	163266851	Chromosome	2020-03-03	69						
GCF_009870125.1	UCI_Dpse_MV25	Drosophila pseudoobscura	163266851	Chromosome	2020-03-03	69	0.9972603	0.987519	0.009741249	0.00060882804	0.002130898	diptera_odb10
GCA_015732765.1	VPISU_Cqui_1.0_pri_paternal	Culex quinquefasciatus	573214445	Chromosome	2020-12-04	56						
GCF_015732765.1	VPISU_Cqui_1.0_pri_paternal	Culex quinquefasciatus	573214445	Chromosome	2020-12-04	56	0.9525114	0.9394216	0.013089802	0.003957382	0.0435312	diptera_odb10
GCA_030763345.1	ASM3076334v1	Mythimna separata	705611066	Chromosome	2023-08-21	130						
GCA_002706865.3	ASM270686v3	Spodoptera litura	429567674	Chromosome	2017-10-25	2396						
GCF_002706865.2	ASM270686v3	Spodoptera litura	429567674	Chromosome	2017-10-25	2396						
GCA_028554725.2	idZeuCucr1.2	Zeugodacus cucurbitae	439243742	Chromosome	2023-02-09	55						
GCF_028554725.1	idZeuCucr1.2	Zeugodacus cucurbitae	439243742	Chromosome	2023-02-09	55	0.99512935	0.9887367	0.006392694	0.00030441402	0.00456621	diptera_odb10
GCA_017639315.2	ASM1763931v2	Drosophila ananassae	213817545	Chromosome	2021-07-16	139						
GCF_017639315.1	ASM1763931v2	Drosophila ananassae	213817545	Chromosome	2021-07-16	139	0.9960426	0.9933029	0.002739726	0.00030441402	0.003652968	diptera_odb10
GCA_013340165.1	LBDM_Dsuz_2.1.pri	Drosophila suzukii	268012156	Chromosome	2020-06-15	546						
GCF_013340165.1	LBDM_Dsuz_2.1.pri	Drosophila suzukii	268012156	Chromosome	2020-06-15	546	0.9972603	0.9656012	0.031659056	0.000913242	0.001826484	diptera_odb10
GCA_902850365.2	PGI_CHILSU_V6	Chilo suppressalis	783446955	Chromosome	2022-09-09	32						
GCA_905115235.1	iHerIll2.2.curated.20191125	Hermetia illucens	1004932590	Chromosome	2020-11-21	20						
GCF_905115235.1	iHerIll2.2.curated.20191125	Hermetia illucens	1004932590	Chromosome	2020-11-21	20	0.9805175	0.97108066	0.009436834	0.0012176561	0.01826484	diptera_odb10
GCA_902829305.4	PGI_SPEXI_v6	Spodoptera exigua	450885128	Chromosome	2022-10-08	35						
GCA_028408465.1	idAnaLude1.1	Anastrepha ludens	820766187	Chromosome	2023-02-06	140						
GCF_028408465.1	idAnaLude1.1	Anastrepha ludens	820766187	Chromosome	2023-02-06	140	0.9957382	0.9893455	0.006392694	0.00060882804	0.003652968	diptera_odb10
GCA_016746365.2	Prin_Dyak_Tai18E2_2.1	Drosophila yakuba	147883098	Chromosome	2021-07-30	53						
GCF_016746365.2	Prin_Dyak_Tai18E2_2.1	Drosophila yakuba	147883098	Chromosome	2021-07-30	53	0.99817353	0.9957382	0.0024353121	0.00060882804	0.0012176561	diptera_odb10
GCA_963966145.1	icTenMoli1.1	Tenebrio molitor	276955368	Chromosome	2024-02-12	238						
GCA_014839805.1	JHU_Msex_v1.0	Manduca sexta	470021481	Chromosome	2020-10-02	4056						
GCF_014839805.1	JHU_Msex_v1.0	Manduca sexta	470021481	Chromosome	2020-10-02	4056	0.9899735	0.9146803	0.07529323	0.0020809686	0.007945516	lepidoptera_odb10
GCA_032191425.1	ASM3219142v1	Lymantria dispar	997561891	Chromosome	2023-09-29	53						
GCA_018135715.1	MEX_DaPlex	Danaus plexippus	245173502	Chromosome	2021-04-26	66						
GCF_018135715.1	MEX_DaPlex	Danaus plexippus	245173502	Chromosome	2021-04-26	66	0.994703	0.97635263	0.018350359	0.0005675369	0.004729474	lepidoptera_odb10
GCA_019009955.1	ASM1900995v1	Riptortus pedestris	1079517510	Chromosome	2021-06-24	290						
GCA_037114965.1	ASM3711496v1	Monochamus alternatus	789497424	Chromosome	2024-03-13	16						
GCA_003590095.1	tn1	Trichoplusia ni	368211209	Chromosome	2018-09-24	1031						
GCF_003590095.1	tn1	Trichoplusia ni	368211209	Chromosome	2018-09-24	1031	0.9858116	0.9286795	0.057132047	0.0020809686	0.012107453	lepidoptera_odb10
GCA_943734845.1	idAnoFuneDA-416_04	Anopheles funestus	250698078	Chromosome	2022-06-24	329						
GCF_943734845.2	idAnoFuneDA-416_04	Anopheles funestus	250698078	Chromosome	2022-06-24	329	0.99391174	0.9914764	0.0024353121	0.00030441402	0.005783866	diptera_odb10
GCA_943734745.1	idAnoDarlMG_H_01	Anopheles darlingi	181637336	Chromosome	2022-06-24	65						
GCF_943734745.1	idAnoDarlMG_H_01	Anopheles darlingi	181637336	Chromosome	2022-06-24	65	0.99056315	0.9841705	0.006392694	0.0012176561	0.008219178	diptera_odb10
GCA_905147795.1	ilPieRapa1.1	Pieris rapae	256355036	Chromosome	2021-01-28	39						
GCF_905147795.1	ilPieRapa1.1	Pieris rapae	256355036	Chromosome	2021-01-28	39	0.98524404	0.97975785	0.00548619	0.0015134317	0.013242528	lepidoptera_odb10
GCA_017141385.1	ASM1714138v1	Sogatella furcifera	563775791	Chromosome	2021-03-09	259						
GCA_947172395.1	ilBicAnyn1.1	Bicyclus anynana	457159770	Chromosome	2022-10-28	82						
GCF_947172395.1	ilBicAnyn1.1	Bicyclus anynana	457159770	Chromosome	2022-10-28	82	0.99035186	0.9801362	0.010215664	0.00075671583	0.008891411	lepidoptera_odb10
GCA_917627325.4	PGI_CHIRRI_v4	Chironomus riparius	191837449	Chromosome	2022-10-18	14						
GCA_033807575.1	ilCydPomo1	Cydia pomonella	642246045	Chromosome	2023-11-21	216						
GCF_033807575.1	ilCydPomo1	Cydia pomonella	642246045	Chromosome	2023-11-21	216	0.98978436	0.94589484	0.04388952	0.0013242527	0.008891411	lepidoptera_odb10
GCA_963855985.1	ilOstNubi1.1	Ostrinia nubilalis	495500553	Chromosome	2023-12-15	52						
GCF_963855985.1	ilOstNubi1.1	Ostrinia nubilalis	495500553	Chromosome	2023-12-15	52	0.9695422	0.9629209	0.006621264	0.003972758	0.026485056	lepidoptera_odb10
GCA_003369915.2	D.miranda_PacBio2.1	Drosophila miranda	287096000	Chromosome	2019-09-23	104						
GCF_003369915.1	D.miranda_PacBio2.1	Drosophila miranda	287096000	Chromosome	2019-09-23	104	0.9972603	0.85540336	0.14185692	0.000913242	0.001826484	diptera_odb10
GCA_009739505.2	ASM973950v2	Apolygus lucorum	1023618409	Chromosome	2020-09-02	191						
GCA_016920715.1	AaraD3	Anopheles arabiensis	256807969	Chromosome	2021-03-10	101						
GCF_016920715.1	AaraD3	Anopheles arabiensis	256807969	Chromosome	2021-03-10	101	0.9923897	0.98569256	0.006697108	0.000913242	0.006697108	diptera_odb10
GCA_004382195.2	ASM438219v2	Drosophila sechellia	153084571	Chromosome	2019-04-16	378						
GCF_004382195.2	ASM438219v2	Drosophila sechellia	153084571	Chromosome	2019-04-16	378						
GCA_943734685.1	AcolN3	Anopheles coluzzii	262602229	Chromosome	2022-06-24	128						
GCF_943734685.1	AcolN3	Anopheles coluzzii	262602229	Chromosome	2022-06-24	128	0.991172	0.9893455	0.001826484	0.00152207	0.007305936	diptera_odb10
GCA_022581195.1	ilHelZeax1.1	Helicoverpa zea	375165593	Chromosome	2022-03-18	42						
GCF_022581195.2	ilHelZeax1.1	Helicoverpa zea	375165593	Chromosome	2022-03-18	42	0.9962164	0.9909194	0.0052970108	0.0005675369	0.0032160424	lepidoptera_odb10
GCA_023375725.1	ASM2337572v1	Nephotettix cincticeps	745952930	Chromosome	2022-05-16	159						
GCA_009761765.1	ASM976176v1	Phenacoccus solenopsis	292537731	Chromosome	2019-12-18	588						
GCA_024516035.1	ASM2451603v1	Bactericera cockerelli	567428061	Chromosome	2022-08-05	1409						
GCA_023897955.2	iqSchGreg1.2	Schistocerca gregaria	8742418402	Chromosome	2022-06-24	1474						
GCF_023897955.1	iqSchGreg1.2	Schistocerca gregaria	8742418402	Chromosome	2022-06-24	1474	0.98829556	0.9597659	0.028529627	0.0007315289	0.010972934	insecta_odb10
GCA_021130785.2	UT_GWSS_2.1	Homalodisca vitripennis	2304988238	Chromosome	2022-01-26	14903						
GCF_021130785.1	UT_GWSS_2.1	Homalodisca vitripennis	2304988238	Chromosome	2022-01-26	14903	0.92749006	0.8195219	0.10796813	0.0103585655	0.062151395	hemiptera_odb10
GCA_004382145.1	ASM438214v1	Drosophila mauritiana	152298302	Chromosome	2019-04-16	352						
GCF_004382145.1	ASM438214v1	Drosophila mauritiana	152298302	Chromosome	2019-04-16	352	0.9993912	0.99452055	0.0048706243	0.00030441402	0.00030441402	diptera_odb10
GCA_921293095.2	ioIscEleg1.2	Ischnura elegans	1722738530	Chromosome	2022-10-25	110						
GCA_921293095.1	ioIscEleg1.1	Ischnura elegans	1722738530	Chromosome	2021-12-05	110						
GCF_921293095.1	ioIscEleg1.1	Ischnura elegans	1722738530	Chromosome	2021-12-05	110	0.9919532	0.9809803	0.010972934		0.008046818	insecta_odb10
GCA_023509865.1	ZAFU_TdicV1	Trypoxylus dichotomus	636265192	Chromosome	2022-05-25	417						
GCA_027563975.2	ilPloInte3.2	Plodia interpunctella	291316876	Chromosome	2024-02-12	45						
GCF_027563975.2	ilPloInte3.2	Plodia interpunctella	291316876	Chromosome	2024-02-12	45	0.9962164	0.9911086	0.005107832	0.00018917896	0.0035944004	lepidoptera_odb10
GCA_905220365.2	ilVanCard2.2	Vanessa cardui	424798336	Chromosome	2022-02-02	36						
GCA_905220365.1	ilVanCard2.1	Vanessa cardui	424798336	Chromosome	2021-02-16	36						
GCF_905220365.1	ilVanCard2.1	Vanessa cardui	424798336	Chromosome	2021-02-16	36	0.99356794	0.99167615	0.0018917896	0.00075671583	0.005675369	lepidoptera_odb10
GCA_028554685.1	CAAS-Ai	Agrotis ipsilon	515324295	Chromosome	2023-02-09	104						
GCA_945859705.1	idEpiBalt1.1	Episyrphus balteatus	535345329	Chromosome	2022-09-13	18						
GCF_945859705.1	idEpiBalt1.1	Episyrphus balteatus	535345329	Chromosome	2022-09-13	18	0.9844749	0.9719939	0.012480974	0.000913242	0.014611872	diptera_odb10
GCA_013373865.2	ASM1337386v2	Monomorium pharaonis	325506644	Chromosome	2020-08-14	725						
GCF_013373865.1	ASM1337386v2	Monomorium pharaonis	325506644	Chromosome	2020-08-14	725	0.9906526	0.9614422	0.029210482	0.0030045067	0.006342848	hymenoptera_odb10
GCA_014851415.1	ASM1485141v1	Cnaphalocrocis medinalis	528450314	Chromosome	2020-10-07	3248						
GCA_016617805.2	CSIRO_BtryS06_freeze2	Bactrocera tryoni	570642875	Chromosome	2021-01-19	5891						
GCF_016617805.1	CSIRO_BtryS06_freeze2	Bactrocera tryoni	570642875	Chromosome	2021-01-19	5891	0.9920852	0.9805175	0.011567732	0.00304414	0.0048706243	diptera_odb10
GCA_950023065.1	ihPlaCitr1.1	Planococcus citri	403646906	Chromosome	2023-05-01	9						
GCF_950023065.1	ihPlaCitr1.1	Planococcus citri	403646906	Chromosome	2023-05-01	9	0.95936257	0.8701195	0.089243025	0.001992032	0.038645416	hemiptera_odb10
GCA_024362695.1	ilPecGoss1.1	Pectinophora gossypiella	476494545	Chromosome	2022-07-22	151						
GCF_024362695.1	ilPecGoss1.1	Pectinophora gossypiella	476494545	Chromosome	2022-07-22	151	0.98864925	0.97635263	0.012296633	0.0005675369	0.010783201	lepidoptera_odb10
GCA_031163375.1	ASM3116337v1	Conogethes punctiferalis	494479261	Chromosome	2023-09-07	48						
GCA_018290095.1	Pv_5.2	Polypedilum vanderplanki	118968711	Chromosome	2021-05-13	387						
GCA_943734665.1	idAnoAquaMG_Q_19	Anopheles aquasalis	176573000	Chromosome	2022-06-24	90						
GCF_943734665.1	idAnoAquaMG_Q_19	Anopheles aquasalis	176573000	Chromosome	2022-06-24	90	0.9933029	0.9872146	0.00608828	0.00060882804	0.00608828	diptera_odb10
GCA_958450345.1	idCalVici1.1	Calliphora vicina	706524439	Chromosome	2023-07-18	117						
GCA_020882235.1	ASM2088223v1	Schizaphis graminum	499221988	Chromosome	2021-11-16	22						
GCA_008121235.1	UCBerk_Dsub_1.0	Drosophila subobscura	126232139	Chromosome	2019-08-28	31						
GCF_008121235.1	UCBerk_Dsub_1.0	Drosophila subobscura	126232139	Chromosome	2019-08-28	31	0.9975647	0.99086756	0.006697108	0.0012176561	0.0012176561	diptera_odb10
GCA_019457755.1	ASM1945775v1	Venturia canescens	290760430	Chromosome	2021-08-09	67						
GCF_019457755.1	ASM1945775v1	Venturia canescens	290760430	Chromosome	2021-08-09	67	0.9726256	0.9662828	0.006342848	0.0026706727	0.024703722	hymenoptera_odb10
GCA_037013635.1	ASM3701363v1	Plagiodera versicolora	233265008	Chromosome	2024-03-06	32						
GCA_018902025.2	UCI_dwil_1.1	Drosophila willistoni	246985538	Chromosome	2021-06-16	744						
GCF_018902025.1	UCI_dwil_1.1	Drosophila willistoni	246985538	Chromosome	2021-06-16	744	0.9960426	0.9850837	0.010958904	0.00030441402	0.003652968	diptera_odb10
GCA_928085145.1	PGI_NEZAVIv3	Nezara viridula	1185128795	Chromosome	2022-06-30	84						
